"userID","artistID","weight"
2,51,13883
2,52,11690
2,53,11351
2,54,10300
2,55,8983
2,56,6152
2,57,5955
2,58,4616
2,59,4337
2,61,3923
2,63,3735
2,64,3644
2,65,3579
2,66,3312
2,67,3301
2,68,2927
2,69,2720
2,70,2686
2,71,2654
2,72,2619
2,75,2397
2,76,2382
2,77,2120
2,81,1948
2,84,1740
2,85,1638
2,86,1594
2,88,1553
2,89,1519
2,93,1407
2,96,1342
2,97,1337
2,98,1332
2,99,1330
2,100,1315
3,107,269
4,51,228
4,53,686
4,64,420
4,65,301
4,70,389
4,72,4983
4,77,396
4,152,1208
4,153,903
4,154,826
4,155,777
4,157,732
4,159,724
4,161,632
4,162,524
4,163,465
4,166,445
4,167,407
4,170,366
4,171,359
4,172,309
4,173,292
4,174,287
4,176,284
4,180,256
4,181,255
4,182,254
4,183,253
4,184,247
4,186,236
4,187,223
4,188,221
4,189,210
4,190,208
4,191,202
4,192,197
4,193,193
5,53,181
5,154,884
5,173,241
5,182,222
5,190,826
5,195,673
5,196,620
5,197,452
5,198,451
5,199,374
5,202,298
5,203,287
5,204,283
5,205,275
5,206,265
5,207,259
5,208,255
5,209,252
5,210,229
5,211,222
5,212,210
5,215,196
5,217,185
5,220,170
5,221,161
5,222,161
5,223,149
5,225,142
5,226,139
5,227,138
5,228,138
5,229,138
5,230,137
5,231,134
5,233,130
5,234,129
5,235,129
5,237,118
5,238,115
6,77,16
6,239,41
6,241,40
6,245,31
6,246,31
6,250,24
6,251,24
6,253,23
6,256,19
6,257,18
6,258,18
6,261,18
6,262,17
6,265,17
6,266,16
6,267,16
6,278,14
6,279,14
6,283,14
6,285,13
7,55,3151
7,67,2540
7,89,5846
7,257,5188
7,288,43864
7,289,11112
7,290,6266
7,291,5379
7,292,4201
7,293,4059
7,294,3251
7,295,2852
7,296,2356
7,297,1848
7,298,1802
7,299,1780
7,300,1747
7,301,1553
7,302,1490
7,304,1312
7,305,1169
7,306,1164
7,307,1162
7,308,1082
7,309,1027
7,310,962
7,311,960
7,312,926
7,314,868
7,316,809
7,317,773
7,318,753
7,320,719
7,321,674
7,322,667
7,323,646
7,324,605
7,325,599
7,326,593
7,327,587
7,328,571
7,329,534
7,330,527
7,331,516
7,332,510
7,333,498
8,71,181
8,89,921
8,97,354
8,251,235
8,257,479
8,265,581
8,288,428
8,289,2258
8,291,402
8,292,783
8,295,1425
8,296,1039
8,298,613
8,300,347
8,302,432
8,311,353
8,323,578
8,340,800
8,342,753
8,344,553
8,349,494
8,352,417
8,355,361
8,356,350
8,360,257
8,362,229
8,366,173
9,370,1113
9,371,1103
9,374,708
9,375,630
9,377,609
9,378,590
9,383,521
9,386,465
9,389,403
9,396,307
9,400,290
9,403,273
9,405,267
9,407,249
9,412,236
10,154,177
10,159,225
10,196,1137
10,199,1386
10,208,310
10,217,761
10,225,1297
10,228,279
10,229,992
10,416,3132
10,418,1056
10,419,1029
10,420,1023
10,421,956
10,423,845
10,424,797
10,425,729
10,426,603
10,427,583
10,428,578
10,429,573
10,430,560
10,432,527
10,433,483
10,434,455
10,436,317
10,437,315
10,438,308
10,439,291
10,440,247
10,441,238
10,443,229
10,444,208
10,445,204
10,447,189
10,450,173
10,453,161
10,454,157
11,67,229
11,89,3384
11,157,1007
11,230,329
11,234,370
11,288,749
11,289,3851
11,292,555
11,294,264
11,295,521
11,300,347
11,301,306
11,304,1031
11,306,249
11,325,298
11,327,337
11,329,553
11,344,243
11,349,341
11,455,4416
11,456,1951
11,458,1708
11,459,1567
11,460,1531
11,461,1500
11,463,1235
11,464,1117
11,465,1006
11,466,956
11,467,793
11,468,719
11,470,548
11,471,537
11,472,514
11,475,424
11,479,321
11,481,293
11,484,244
11,485,238
12,72,2144
12,189,2976
12,191,4259
12,230,2110
12,288,3072
12,300,1064
12,333,23961
12,344,5489
12,377,59695
12,378,31617
12,405,1034
12,407,1600
12,466,1485
12,486,24097
12,487,7867
12,488,7425
12,489,7399
12,490,4527
12,491,3837
12,492,3823
12,493,3727
12,494,3648
12,497,3226
12,498,3134
12,499,3080
12,500,2471
12,501,2378
12,503,1714
12,504,1646
12,506,1591
12,507,1547
12,510,1341
12,511,1278
12,512,1260
12,514,1227
12,515,1222
12,517,1177
12,518,1001
12,519,982
13,55,6
13,67,9
13,89,3967
13,173,6
13,228,6
13,292,4
13,295,2
13,298,16
13,299,4
13,300,2
13,302,9
13,310,17
13,316,4
13,318,2
13,325,3
13,328,12
13,333,38
13,344,2
13,349,3
13,352,2
13,378,2
13,461,3
13,466,4
13,498,6
13,523,10
13,524,8
13,525,6
13,526,6
13,527,4
13,528,4
13,530,3
13,531,3
